"Reference","Value","Footprint","Datasheet","DigiKey_Part_Number","MANUFACTURER","Price","Purchase-URL","Qty"
"TP3","VBUS","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP4","VSYS","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP5","VDD_1.8","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP6","VDD_1.8V","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP7","BHI360_INT","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP8","BHI360_CS","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP9","BHI360_MISO","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP10","BHI360_MOSI","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP11","BHI360_CLK","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP12","BMA456_MISO","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP13","BMA456_MOSI","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP14","BMA456_CLK","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP15","BMA456_CS","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP16","BMM350_SCK","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP17","BMM350_SDA","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP18","VDD_LP_SENS","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"TP19","BMA456_INT","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","1"
"U1-U3","FDV303N","FDV303N:SOT-23-3L_FAS","https://www.onsemi.com/pdf/datasheet/fdv303n-d.pdf","FDV303N","onsemi","0.37","https://www.digikey.fi/en/products/detail/onsemi/FDV303N/458853","3"
"U4","NPM1100-CAAA-R7","NPM1100-CAAA-R7:BGA25C40P5X5_207X207X52N","https://infocenter.nordicsemi.com/pdf/nPM1100_PS_v1.2.pdf","npm1100-caab-r","Nordic Semiconductor SA","2.20","https://www.digikey.fi/en/products/detail/nordic-semiconductor-asa/npm1100-caab-r/18069436","1"
"U5","ANNA-B112-70B","ANNA_B112_70B:XCVR_ANNA-B112-70B","https://content.u-blox.com/sites/default/files/ANNA-B112_DataSheet_UBX-18011707.pdf","anna-b112-70b","u-blox","9.20","https://www.digikey.fi/en/products/detail/u-blox/anna-b112-70b/13877614","1"
"U6","BHI360","BHI360:XDCR_BHI360","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bhi360-ds000.pdf","bhi360","Bosch Sensortec","6.04","https://www.digikey.fi/en/products/detail/bosch-sensortec/bhi360/19522587","1"
"U7","BMA456","BMA456:XDCR_BMA456","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bma456-ds000.pdf","bma456","Bosch Sensortec","2.39","https://www.digikey.fi/en/products/detail/bosch-sensortec/bma456/7401315","1"
"U8","BMM350","BMM350:BGA9C40P3X3_128X128X50","https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmm350-ds001.pdf","BMM350","Bosch Sensortec","2.43","https://www.digikey.fi/en/products/detail/bosch-sensortec/BMM350/17827576","1"
"U9","TPS7A0533PDBV","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tps7a05.pdf","TPS7A0533PDBVR","Texas Instruments","0.66","https://www.digikey.fi/fi/products/detail/texas-instruments/TPS7A0533PDBVR/9489226","1"
"Y1","32.768kHz","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm","https://support.epson.biz/td/api/doc_check.php?dl=brief_FC-12M&lang=en","FC-12M-32-7680KD-A0","EPSON","0.61","https://www.digikey.fi/en/products/detail/epson/FC-12M-32-7680KD-A0/5259894","1"
